,X0,X1,Y
0,2.149477042,-0.412594466,1
1,1.192793528,0.424816465,0
2,-0.255469512,1.520489102,0
3,0.143992353,-0.219084689,1
4,-0.03327495,1.259549595,0
5,1.531762011,-0.059433362,1
6,-0.863037708,0.752529511,1
7,0.345618981,-0.013307201,1
8,0.591735498,1.67918868,0
9,-1.273152544,1.317425627,0
10,0.907967546,1.146976398,0
11,-0.374490003,0.414558651,0
12,0.248419823,0.542953126,0
13,0.029815807,0.575134656,1
14,0.419189251,0.623428596,0
15,0.059207931,0.99399954,0
16,0.826379511,0.00068772,1
17,-1.316988287,1.361202484,0
18,-0.556019737,0.341514487,0
19,1.837775509,-0.639422832,1
20,0.153716846,1.235311446,0
21,-0.294847315,-0.882247404,1
22,-0.118986112,0.415244516,0
23,1.261118305,-0.471670089,1
24,0.657004696,1.093572751,1
25,-0.558021961,0.766823903,0
26,-0.272998078,0.928799575,0
27,-0.358688601,-0.237689982,0
28,-0.747194414,0.607620912,0
29,-0.856411755,0.023107238,0
30,0.943282865,0.281269441,1
31,2.053536655,-0.275963486,1
32,-0.815447157,0.256030733,0
33,-1.257874198,0.095870015,0
34,2.340425689,0.259147786,1
35,-0.443735259,1.075217912,1
36,1.07299486,-0.76986713,1
37,1.461855413,-0.387673335,1
38,1.227122647,0.695524274,0
39,2.243986893,0.542325441,1
40,-0.216781869,-0.599086169,1
41,-1.872679964,0.817898132,0
42,-0.492017883,0.563367179,0
43,1.056904806,-0.299246788,1
44,0.265979253,0.883721186,1
45,0.621695346,0.055123641,1
46,0.308556859,-0.528237763,1
47,0.388951902,0.33859868,1
48,-0.354137899,0.391705978,1
49,-0.793717731,0.914248573,0
50,0.661878831,0.005580816,1
51,0.821751465,-0.553755973,1
52,-0.155765534,-0.268163503,1
53,1.427015121,-1.267096932,1
54,-0.135217104,0.281873378,1
55,-0.453582412,1.673238169,0
56,2.465442775,0.580923347,1
57,-0.073708644,0.9442363,0
58,0.860647193,0.872413413,0
59,-0.409340626,0.86474565,1
60,-0.497948827,1.366766813,0
61,2.630428584,0.035368293,1
62,-0.365821791,0.580356481,0
63,-1.455225994,1.025366731,0
64,-1.230749346,1.719427546,0
65,-0.445236028,0.99503049,0
66,0.375181857,-0.073055961,1
67,0.612442382,0.26911888,0
68,1.968233237,-1.147865187,1
69,-0.128177276,-0.560207066,1
70,1.636622243,-0.190233223,1
71,-0.97573248,0.635140474,0
72,-0.448307829,0.778783152,0
73,1.110674838,-0.36631561,1
74,0.427867742,1.166451857,0
75,1.007222245,-0.819600034,0
76,0.650926776,-0.937995808,1
77,1.309616737,0.281499365,0
78,0.623141644,-0.752011362,1
79,0.890407562,-0.87161093,1
80,1.196368617,-0.032988106,0
81,0.608258227,-0.240570003,1
82,-0.851050727,0.301839973,0
83,0.052749484,0.850852602,0
84,-0.983905257,0.755081405,0
85,-0.708984539,-0.068730523,0
86,1.165818897,0.704482209,0
87,-0.491151924,0.427183626,0
88,0.817358562,0.722658084,0
89,1.42912209,-0.139196263,1
90,0.140003346,0.094179299,1
91,-0.878643342,0.709755468,0
92,-0.856863643,0.831521908,0
93,0.659894473,0.310816916,0
94,1.67728186,-0.365772035,1
95,-0.086200898,-0.424351123,0
96,-0.102173833,0.963558902,0
97,0.38770396,-1.235946274,1
98,0.827586744,-0.603014352,1
99,-0.651579811,-0.065450905,0
100,0.64987637,-0.55153213,1
101,0.841150351,-0.244230266,1
102,-0.935953136,0.453332903,1
103,-0.245177798,-0.029054282,0
104,1.02330058,-0.256874268,1
105,-1.487223632,0.694930937,0
106,1.901519416,0.167066725,1
107,0.57502821,0.396854176,0
108,0.085147531,0.567867816,0
109,0.996606201,0.539036631,0
110,-0.121689742,0.284814237,1
111,-0.440527159,1.617097054,0
112,2.210686098,-0.15781557,1
113,-0.440410355,0.224600917,1
114,-1.533977006,0.669663826,0
115,-0.505362066,1.546142159,0
116,0.845111046,-0.447073166,1
117,0.278532542,-0.379078325,1
118,-0.283637894,1.613250381,0
119,0.286649735,0.568836236,0
120,-0.567371669,0.844417354,0
121,-0.036103873,-0.028469746,1
122,-1.572661445,0.681878419,0
123,-0.172858523,0.278777522,1
124,2.243779554,-1.436667836,1
125,0.536156831,0.85011166,0
126,1.376532348,-0.459978422,1
127,0.634800929,-0.945706716,1
128,-0.987125028,-0.071199754,0
129,-0.595178788,0.825618943,0
130,-0.12337658,-1.779119415,1
131,-0.876105928,-0.02083852,0
132,-0.892562259,0.46598826,0
133,0.851286091,0.287934593,1
134,2.334920499,0.383387539,1
135,-0.306706669,-0.212303563,0
136,-0.708514437,0.197993079,0
137,0.825137863,0.491983727,0
138,2.107053048,0.229377781,1
139,1.325470411,-0.677968403,1
140,0.738088876,0.663800388,0
141,1.72642645,-0.629865491,1
142,0.268071839,-1.323377535,1
143,0.173529918,1.62307868,0
144,1.9261017,0.83043474,1
145,1.706028309,-0.541540436,1
146,1.91022618,-1.557447273,1
147,1.48511218,-0.076841619,1
148,1.432297677,0.255298453,1
149,2.368593765,-0.020587155,1
150,0.78643425,0.119885238,0
151,-0.77628197,0.837759824,0
152,0.781728668,0.036239097,0
153,0.514287418,0.202475265,0
154,0.738968045,0.84897064,0
155,2.714205826,-0.69945943,1
156,1.325084002,-0.793594037,1
157,0.179887815,0.681045681,1
158,0.621000412,-0.008812355,0
159,1.190455416,0.63755922,0
160,1.869542319,-0.436794823,1
161,1.307006554,-0.608260711,1
162,0.952443496,-0.644973732,1
163,0.529537091,0.79007122,1
164,-0.014717896,1.000282226,0
165,1.236022351,0.282839926,0
166,0.826693934,1.450496873,0
167,0.79660894,-0.606191106,1
168,0.770919587,-0.724668685,1
169,-2.105392783,-0.212454427,0
170,-0.320662733,0.218959497,1
171,0.627154685,-0.155081515,1
172,1.434604968,-0.911281788,1
173,0.04457871,1.030794753,0
174,-0.587083284,0.950602887,1
175,2.130114189,0.379919329,1
176,1.537881348,-0.670175135,1
177,0.997329785,0.704737782,0
178,1.575191116,0.614159946,1
179,0.561048682,0.041102091,0
180,-0.776475047,1.414831877,0
181,-1.188411583,1.014183799,0
182,-0.456119384,0.062455422,0
183,-0.136654658,1.468894213,0
184,-0.256207193,1.371627918,0
185,2.183543896,0.240023037,1
186,0.755095756,0.478042594,0
187,0.468226314,-0.026455011,1
188,-0.795331759,0.89373261,0
189,0.270338814,0.070647995,0
190,-0.806946584,0.935686897,0
191,0.742279841,-0.813174773,1
192,1.332494089,-0.609148474,1
193,-0.425337131,0.191926095,0
194,1.014592055,-0.477456375,1
195,-0.33495561,1.285165458,0
196,-0.102083761,0.1096828,0
197,0.106801104,0.385030462,1
198,2.236966251,0.438217985,1
199,1.741042109,-0.511704692,1
200,1.004412003,-1.126783182,1
201,0.98324676,1.607563896,0
202,-0.649810053,0.062399714,0
203,0.096269579,0.024771843,0
204,-0.497074657,1.125646169,0
205,0.246957383,0.577364243,0
206,0.715915837,-0.757690557,1
207,2.178511666,-0.528363456,1
208,-1.378129441,0.077198549,0
209,1.456415285,-1.080037323,1
210,1.787309163,-0.526736925,1
211,1.601792194,-0.39287861,1
212,1.346211823,-0.203211013,1
213,-0.552464809,1.448478929,0
214,-0.398395886,1.715218487,0
215,0.846823244,-0.081051972,1
216,-0.290430684,-0.144584185,1
217,0.217704387,0.700010754,0
218,0.374221077,0.414418577,0
219,1.298406735,-0.595450233,1
220,0.845475071,1.029772283,0
221,-1.939339503,0.4942748,0
222,-0.054852179,-0.409838341,1
223,1.391544281,0.355131285,0
224,0.069221811,0.049962666,1
225,0.549355668,0.12815392,1
226,0.57916397,0.73511979,0
227,2.701425811,0.863666117,1
228,-0.162423105,0.264939451,0
229,1.529124652,0.711847447,1
230,0.862173815,0.015336109,0
231,1.86789689,-0.077864331,1
232,0.812566828,-1.028811706,1
233,-0.203671222,-0.224006495,1
234,1.522230705,0.158888771,1
235,1.29238427,-0.304553558,1
236,-1.548889392,1.860222091,0
237,1.493756365,0.170645714,0
238,0.593280677,0.49083554,0
239,1.007780864,-0.176231095,0
240,2.105524439,-0.761043305,1
241,1.318831568,-1.083147848,1
